annotation_id,mature_topic,space,rank,candidate_topic,image_path,github_image_url,topic_f_2019,topic_f_2020,topic_f_2021,topic_f_2022,topic_f_2023,ref_f_2024,score,passed_all_gates
WS0001,artificial-intelligence-of-things,problem,1,AIoT implementation challenges in smarter eco-cities,construction_v2/images/WS0001_01_aiot_implementation_challenges_in_smarter_eco-cities.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0001_01_aiot_implementation_challenges_in_smarter_eco-cities.png,0.0,0.0,0.0,0.0,0.00018198362147406734,0.0006472491909385113,0.0,True
WS0002,artificial-intelligence-of-things,solution,1,AI-assisted network slicing,construction_v2/images/WS0002_01_ai-assisted_network_slicing.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0002_01_ai-assisted_network_slicing.png,0.0,0.0003322259136212625,0.0002871912693854107,0.0,0.000545950864422202,0.001035598705501618,0.00013306008234291103,True
WS0003,artificial-intelligence-of-things,solution,4,AIoT-enabled environmental sustainability in smart eco-cities,construction_v2/images/WS0003_04_aiot-enabled_environmental_sustainability_in_smart_eco-cities.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0003_04_aiot-enabled_environmental_sustainability_in_smart_eco-cities.png,0.0,0.0,0.0,0.0,0.00018198362147406734,0.0006472491909385113,0.0,True
WS0004,artificial-intelligence-of-things,solution,5,Lightweight blockchain-based security for IIoT,construction_v2/images/WS0004_05_lightweight_blockchain-based_security_for_iiot.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0004_05_lightweight_blockchain-based_security_for_iiot.png,0.0,0.0,0.0,0.0,0.00018198362147406734,0.0007766990291262136,0.0,True
WS0005,asynchronous-federated-learning,problem,1,model staleness in asynchronous federated learning,construction_v2/images/WS0005_01_model_staleness_in_asynchronous_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0005_01_model_staleness_in_asynchronous_federated_learning.png,0.006269592476489028,0.004608294930875576,0.010309278350515464,0.023121387283236993,0.021164021164021163,0.04236006051437216,0.3020938343430903,True
WS0006,asynchronous-federated-learning,solution,1,staleness-aware aggregation in asynchronous federated learning,construction_v2/images/WS0006_01_staleness-aware_aggregation_in_asynchronous_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0006_01_staleness-aware_aggregation_in_asynchronous_federated_learning.png,0.0,0.0,0.01443298969072165,0.015414258188824663,0.014109347442680775,0.025718608169440244,0.0,True
WS0007,attention-mechanisms-in-cnn,problem,1,long-range spectral dependency modeling,construction_v2/images/WS0007_01_long-range_spectral_dependency_modeling.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0007_01_long-range_spectral_dependency_modeling.png,0.0,0.0,0.0003980891719745223,0.0009881422924901185,0.0010784578053383662,0.0020898641588296763,0.29307322506785144,True
WS0008,attention-mechanisms-in-cnn,problem,2,inductive bias in vision transformers,construction_v2/images/WS0008_02_inductive_bias_in_vision_transformers.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0008_02_inductive_bias_in_vision_transformers.png,0.0,0.0,0.0007961783439490446,0.0013175230566534915,0.0010784578053383662,0.0036572622779519333,0.031500771584716966,True
WS0009,attention-mechanisms-in-cnn,problem,3,CNN-transformer fusion,construction_v2/images/WS0009_03_cnn-transformer_fusion.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0009_03_cnn-transformer_fusion.png,0.0,0.0,0.0,0.0,0.00026961445133459155,0.0013932427725531174,0.0,True
WS0010,attention-mechanisms-in-cnn,solution,1,large-kernel convolutions,construction_v2/images/WS0010_01_large-kernel_convolutions.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/images/WS0010_01_large-kernel_convolutions.png,0.0,0.0,0.0,0.00032938076416337287,0.0005392289026691831,0.0012190874259839777,0.14215549946473582,True
