subtopic_slug,subtopic,parent_topic,query_count_in_raw,paraphrase_count_in_raw,queries_in_raw,paraphrases_in_raw
aiot-sensing,AIoT sensing,Artificial Intelligence of Things,4,3,AIoT sensing; AIoT-enabled sensing; artificial intelligence of things sensing; intelligent sensing in AIoT,AIoT-enabled sensing; artificial intelligence of things sensing; intelligent sensing in AIoT
aiot-computing,AIoT computing,Artificial Intelligence of Things,5,4,AIoT computation; AIoT computing; AIoT intelligence computing; artificial intelligence of things computing; computing in AIoT,AIoT computation; AIoT intelligence computing; artificial intelligence of things computing; computing in AIoT
aiot-networking-and-communication,AIoT networking and communication,Artificial Intelligence of Things,4,3,AIoT communications; AIoT networking; AIoT networking and communication; communication and networking in AIoT,AIoT communications; AIoT networking; communication and networking in AIoT
llm-pretraining-and-scaling,LLM pretraining and scaling,Large Language Models,5,4,large language model pretraining; LLM pretraining and scaling; LLM scaling and pretraining; pretraining large language models; scaling laws for large language models,large language model pretraining; LLM scaling and pretraining; pretraining large language models; scaling laws for large language models
instruction-tuning,instruction tuning,Large Language Models,3,2,instruction tuning; instruction tuning for large language models; instruction-tuned language models,instruction tuning for large language models; instruction-tuned language models
llm-alignment-and-preference-optimization,LLM alignment and preference optimization,Large Language Models,5,4,human preference alignment for large language models; large language model alignment; LLM alignment and preference optimization; LLM preference alignment; preference optimization for LLMs,human preference alignment for large language models; large language model alignment; LLM preference alignment; preference optimization for LLMs
parameter-efficient-fine-tuning,parameter-efficient fine-tuning,Large Language Models,2,1,parameter-efficient fine-tuning; PEFT,PEFT
retrieval-augmented-generation,retrieval-augmented generation,Large Language Models,2,1,RAG; retrieval-augmented generation,RAG
long-context-llms,long-context LLMs,Large Language Models,4,3,context length extension for LLMs; extended-context large language models; long context large language models; long-context LLMs,context length extension for LLMs; extended-context large language models; long context large language models
llm-agents-and-tool-use,LLM agents and tool use,Large Language Models,5,4,large language model agents; LLM agents and tool use; LLM-based agents; tool learning with large language models; tool-using LLM agents,large language model agents; LLM-based agents; tool learning with large language models; tool-using LLM agents
llm-reasoning,LLM reasoning,Large Language Models,5,4,large language model reasoning; LLM reasoning; LLM-based reasoning; reasoning in LLMs; reasoning with large language models,large language model reasoning; LLM-based reasoning; reasoning in LLMs; reasoning with large language models
efficient-llm-inference,efficient LLM inference,Large Language Models,4,3,efficient inference for large language models; efficient large language model inference; efficient LLM inference; LLM inference acceleration,efficient inference for large language models; efficient large language model inference; LLM inference acceleration
hallucination-mitigation,hallucination mitigation,Large Language Models,4,3,hallucination mitigation; hallucination mitigation in LLMs; LLM hallucination reduction; mitigating hallucinations in large language models,hallucination mitigation in LLMs; LLM hallucination reduction; mitigating hallucinations in large language models
llm-security-and-privacy,LLM security and privacy,Large Language Models,3,2,large language model security and privacy; LLM security and privacy; security and privacy of LLMs,large language model security and privacy; security and privacy of LLMs
fairness-and-bias-in-llms,fairness and bias in LLMs,Large Language Models,5,4,bias and fairness in LLMs; bias in large language models; fairness and bias in LLMs; fairness in large language models; LLM fairness and bias,bias and fairness in LLMs; bias in large language models; fairness in large language models; LLM fairness and bias
