subtopic_slug,subtopic,parent_topic,year,query_slug,query_text,query_type,paper_count_unique_with_abstract,paper_count_unique_raw,raw_records,missing_abstract_unique,pages,malformed_lines,raw_path
aiot-computing,AIoT computing,Artificial Intelligence of Things,2019,aiot-computation,AIoT computation,paraphrase,2,3,3,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2019_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2019,aiot-computing,AIoT computing,topic,3,5,5,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2019_aiot-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2019,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,0,1,1,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2019_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2019,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,241,350,350,109,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2019_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2019,computing-in-aiot,computing in AIoT,paraphrase,3,5,5,2,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2019_computing-in-aiot.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2020,aiot-computation,AIoT computation,paraphrase,5,6,6,1,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2020_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2020,aiot-computing,AIoT computing,topic,9,13,13,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2020_aiot-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2020,aiot-intelligence-computing,AIoT intelligence computing,paraphrase,6,10,10,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2020_aiot-intelligence-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2020,artificial-intelligence-of-things-computing,artificial intelligence of things computing,paraphrase,414,549,549,135,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2020_artificial-intelligence-of-things-computing.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2020,computing-in-aiot,computing in AIoT,paraphrase,9,13,13,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2020_computing-in-aiot.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2021,aiot-computation,AIoT computation,paraphrase,14,18,18,4,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2021_aiot-computation.jsonl
aiot-computing,AIoT computing,Artificial Intelligence of Things,2021,aiot-computing,AIoT computing,topic,42,48,48,6,1,0,/Users/xiaozhou/Desktop/weak-signal-benchmark/construction_v2/papers/subtopics/aiot-computing/raw/semantic_scholar_aiot-computing_2021_aiot-computing.jsonl
